Consonants,,,,,,,,,,,,,,,,,,,,,,
IPA1,IPA2,APA,NOAD,AHD,RHD,WBO,MECD,DPL,DPN,TBD,NBC,MWCD,COD4,POD,Cham,SD,AB,Dictcom,BBC,Wikipedia¹,Wikipedia²,Examples
tʃ,tʃ,č,ᴄʜ,ch,c͡h,ch,ch,ch,ch,ch,ch,ch,ch,ch,ch,ch,ch,ch,"ch, tch",ch,ch,church
h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,hh,h,h,h,h,hat
hw,hw,hw,(h)w,hw,hw,hw,hw,,,hw,,hw,,hw,(h)w,w,,hw,,hw,wh,which
dʒ,dʒ,ǯ,j,j,j,j,j,j,j,j,j,j,j,j,j,j,jh,j,j,j,j,judge
x,x,x,ᴋʜ,KH,ᴋ͡ʜ,kh,,,,H,,k,(χ),kh,hh,,,ᴋʜ,kh,kh,kh,loch (Scottish)
x,x,x,ᴋʜ,KH,ᴋ͡ʜ,kh,,,,H,,k,(χ),kh,hh,,,ᴋʜ,kh,kh,kh,Buch (German)
ɬ,ɬ,ł,,,,,,,,,,,,,hl,,,,hl,,,llan (Welsh)
ɡ,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,"g, gh",game
ŋ,ŋ,ŋ,ɴɢ,ng,n͡g,ng,ng,ŋ,ng,ng,ng,ŋ,ng,ng,ng,ng,ng,ng,ng,ng,ng,thing
ŋ,ŋ,ŋ,ɴɢ,ng,n͡g,ng,ng,ŋ,ng,ng,ng,ŋ,ng,ng,ng,ng,ng,ng,"(ng-g, nk)",ng,ng,thing
ʃ,ʃ,š,ꜱʜ,sh,s͡h,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,sh,ship
θ,θ,θ,ᴛʜ,th,t͡h,th,th,th,th,th,th,th,th,th,th,th,th,th,th,th,th,thin
ð,ð,ð,ᴛʜ,th,th̸,th,th,th,t̷h,TH,th:,th,dh,th,dh,TH,dh,th,dh,dh,dh,this
j,j,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,yes
ʒ,ʒ,ž,ᴢʜ,zh,z͡h,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,zh,vision
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,
d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,
f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,
k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,
l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,
m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,
n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,
p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,
r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,r1,
s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,
t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,
v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,v,
w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,
z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,
,,,,,,,,,,,,,,,,,,,,,,
Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels,Vowels
IPA1,IPA2,APA,NOAD,AHD,RHD,WBO,MECD,DPL,DPN,TBD,NBC,MWCD,COD4,POD,Cham,SD,AB,Dictcom,BBC,Wikipedia¹,Wikipedia²,Examples
æ,æ,æ,a,ă,a,a,a,a,a,a,a,a,ă,a,a,a,ae,a,a (arr),ă,a (arr),cat
eɪ,e,e(y),ā,ā,ā,ay,ay,ā,ay,ā,ay,ā,ā,ay,ā,"ay, ae",ey,ey,ay,ā,ay,day
ɛər,ɛr,εr,e(ə)r,âr,âr,air,air,-,-,er,air,ar,ār,air,ār,air,eh r,air,air,ār,air,hair
ɑː,ɑ,a,ä,ä,ä,ah,aa,ä,"aw, o",ä,ah,"ä, ȧ",ah,aa,ä,ah,aa,ah,aa,â,ah,father
ɑr,ɑr,ar,är,är,är,ahr,aar,är,-,är,ahr,är,a͡r,aar,är,ar,aa r,ahr,ar,âr,ar,arm
ɛ,ɛ,ε,e,ĕ,e,eh,e,e,ɛ,e,e,e,ě,e,e,e,eh,e,e (err),ĕ,e (err),let
iː,i,i(y),ē,ē,ē,ee,ee,ē,ē,ē,ee,ē,ē,ee,ē,ee,iy,ee,ee,ē,ee,see
ɪər,ɪr,ιr,i(ə)r,îr,ēr,ihr,eer,,,ir,,ir,ēr,eer,īr,ihr,ih r,eer,eer,ēr,eer,here
ɪ,ɪ,ɪ,i,ĭ,i,ih,i,i,i,i,i,i,ǐ,i,i,i,ih,i,i (irr),ĭ,i (irr),pit
aɪ,aɪ,ay,ī,ī,ī,y,ī,ī,y,ī,igh,ī,ī,ī,ī,"eye, ie, ye",ay,ahy,y,ī,"y, eye",by
ɒ,ɑ,a,ä,ŏ,o,o,o,ä,o,o,ah,ä,ǒ,o,o,o,aa,o,o (orr),ŏ,o (orr),pot
oʊ,o,o(w),ō,ō,ō,oh,ō,ō,ō,ō,oh,ō,ō,ō,ō,"oh, oe",ow,oh,oh,ō,oh,no
ɔː,ɔ,ɔ,ô,ô,ô,aw,aw,ô,"aw, o",ô,aw,ȯ,aw,aw,ö,aw,ao,aw,aw,ô,aw,caught
ɔr,ɔr,ɔr,ôr,ôr,,,,,,ôr,,ȯr,,,,or,,awr,or,ôr,"awr, or",north
ɔər,or,o(w)r,ôr,ôr,,,,,,ôr,,ȯr,,,,or,,"awr, ohr",or,ōr,"ohr, or",force
ɔɪ,ɔɪ,ɔy,oi,oi,oi,oy,oy,oi,oy,oi,oi,ȯi,oi,oy,oi,oi,oy,oi,oy,oy,oy,noise
ʊ,ᴜ,ᴜ,o͝o,o͝o,o͝o,u,o͝o,oo,u,u̇,oo,u̇,o͝o,o͝o,ŭ2,u,uh,oo,uu,ŏŏ,uu,took
ʊər,ᴜr,ᴜr,o͝or,o͝or,o͝or,ur,oor,,,u̇r,,u̇r,oor,,oor,oor,uh r,oor,oor,oor,oor,tour
uː,u,u(w),o͞o,o͞o,o͞o,oo,oo,o͞o,ū,ü,oo:,ü,o͞o,o͞o,oo,oo,uw,oo,oo,ōō,oo,soon
aʊ,aᴜ,aw,ou,ou,ou,ow,ow,ou,ow,ou,ow,au̇,ow,ow,ow,ou,aw,ou,ow,ow,ow,out
ʌ,ʌ,ʌ,ə,ŭ,u,uh,u,u,ʋ,u,UH,ə,ǔ,u,u,uh,ah,uh,u (urr),ŭ,u (urr),cut
"ɜr, ɝː",ɜr,ər,ər,ûr,ûr,ur,ur,ʉr,er,ėr,ER,ər,e͡r,ər,ûr,ur,er,ur,ur,ûr,ur,word
ə,ə,ə,ə,ə,ə,uh,ə,ə,e,ə,uh,ə,"a, e, i, o, u",ə,ə,uh,ah,uh,uh,ə,ə,about
ɨ,"ɪ, ə",ə,"ə, i",ə,ə,uh,ə,ə,e,ə,uh,ə,"a, e, i, o, u",ə,ə,uh,ah,uh,i,ı,"i, ə",rabbit
ər,ɚ,ər,ər,ər,ər,uhr,ər,ər,er,ər,er,ər,er,ər,ər,ur,er,er,uhr,ər,ər,butter
juː,ju,yu,yo͞o,yo͞o,yo͞o,yoo,yoo,yo͞o,yū,yü,yoo:,yü,ū,yo͞o,ū,yoo,y uw,yoo,yoo,ū,ew,view
a,,,,,,,,,,ȧ,,ȧ,,,,,,ᴀ,,ȧ,,ami (French)
"øː, œ",œ,ɔ̈,œ,œ,ɶ,,,,,œ,,"œ̄, œ",,,,,,ɶ,oe,ö,,feu (French)
"øː, œ",œ,ɔ̈,œ,œ,ɶ,,,,,œ,,"œ̄, œ",,,,,,ɶ,oe,ö,,schön (German)
"yː, ʏ",y,ü,ʏ,ü,ʏ,,,,,ʏ,,"u͞e, ue",,,,,,ʏ,ue,ü,,tu (French)
"yː, ʏ",y,ü,ʏ,ü,ʏ,,,,,ʏ,,"u͞e, ue",,,,,,ʏ,ue,ü,,über (German)
ɔ̃,õ,ɔ̨,ôɴ,ôɴ,ôɴ,,,,,ôɴ,,ōⁿ,,oɴ,,,,awɴ,o(ng),ôⁿ,,bon (French)3
,,,,,,,,,,,,,,,,,,,,,,
Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress,Stress
IPA1,IPA2,APA,NOAD,AHD,RHD,WBO,MECD,DPL,DPN,TBD,NBC,MWCD,COD4,POD,Cham,SD,AB,Dictcom,BBC,Wikipedia¹,Wikipedia²,Examples
ˈa,ˋa,á,ˈa,aʹ,,,,,,aʹ,,ˈa,a.,á,a',a,1,a,A,a′,a,primary stress
ˌa,ˊa,à,ˌa,aʹ,,,,,,aʹ,,ˌa,(a.),,,a,2,a,a,a′,a,secondary stress
a,,a,a,5,,,,,,aʹ,,ˌa,(a.),,,a,0,a,a,a,a,tertiary stress
